unit,cooling capacity (kW),dehumidification capacity (l/h),current (A),max current (A),power input (W),cspf (kWh/kWh),annual power consumption (degree/year)
RAS-22NJP,2.2,1.4,2.1,6.5,340,9.11,287
RAC-22JP,2.2,1.4,2.1,6.5,340,9.11,287
RAS-28NJP,2.8,1.78,2.6,6.5,476,8.66,384
RAC-28JP,2.8,1.78,2.6,6.5,476,8.66,384
RAS-36NJP,3.6,1.9,3.3,8.5,622,8.08,529
RAC-36JP,3.6,1.9,3.3,8.5,622,8.08,529
RAS-40NJP,4.1,2.8,4.1,9,772,7.78,626
RAC-40JP,4.1,2.8,4.1,9,772,7.78,626
RAS-50NJP,5,3.4,5.2,9.7,1025,7.81,761
RAC-50JP,5,3.4,5.2,9.7,1025,7.81,761
RAS-63NJP,6.3,4.3,6.9,12,1360,6.86,1091
RAC-63JP,6.3,4.3,6.9,12,1360,6.86,1091
RAS-71NJP,7.2,4.8,7.8,13,1615,6.81,1257
RAC-71JP,7.2,4.8,7.8,13,1615,6.81,1257
RAS-81NJP,8,5.5,8.8,16,1868,6.5,1463
RAC-81JP,8,5.5,8.8,16,1868,6.5,1463
RAS-90NJP,8.7,5.8,9.5,16.5,2060,6.5,1590
RAC-90JP,8.7,5.8,9.5,16.5,2060,6.5,1590
RAS-110NJP,11,7.5,13.6,24,2961,5.9,2216
RAC-110JP,11,7.5,13.6,24,2961,5.9,2216
RAS-125NJP,12.5,8.4,17.6,27.5,3836,5.3,2803
RAC-125JP,12.5,8.4,17.6,27.5,3836,5.3,2803
RAS-140NJP,14,9.3,17,28,3692,5.69,2924
RAC-140JP,14,9.3,17,28,3692,5.69,2924
RAS-160NJP,16,10.3,23.8,29,5183,5.09,3735
RAC-160JP,16,10.3,23.8,29,5183,5.09,3735
RAS-22HQP,2.2,1.4,2.3,6.7,397,6.7,390
RAC-22QP,2.2,1.4,2.3,6.7,397,6.7,390
RAS-28HQP,2.8,1.78,3.1,6.8,567,6.4,520
RAC-28QP,2.8,1.78,3.1,6.8,567,6.4,520
RAS-36HQP,3.6,1.9,4.1,8.9,775,6.3,679
RAC-36QP,3.6,1.9,4.1,8.9,775,6.3,679
RAS-40HQP,4.1,2.8,4.9,9,976,5.75,847
RAC-40QP,4.1,2.8,4.9,9,976,5.75,847
RAS-50HQP,5,3.4,6.1,9.7,1290,5.9,1007
RAC-50QP,5,3.4,6.1,9.7,1290,5.9,1007
RAS-63HQP,6.3,4.3,7.4,12,1610,5.75,1302
RAC-63QP,6.3,4.3,7.4,12,1610,5.75,1302
RAS-71HQP,7.2,4.8,9.2,13,2012,5.6,1528
RAC-71QP,7.2,4.8,9.2,13,2012,5.6,1528
RAS-22YSP,2.2,1.4,2.4,6.8,412,6.33,413
RAC-22SP,2.2,1.4,2.4,6.8,412,6.33,413
RAS-28YSP,2.8,1.78,3.3,6.9,614,6.27,531
RAC-28SP,2.8,1.78,3.3,6.9,614,6.27,531
RAS-36YSP,3.6,1.9,4.2,8.9,841,6.24,685
RAC-36SP,3.6,1.9,4.2,8.9,841,6.24,685
RAS-40YSP,4.1,2.8,5,9,1042,5.88,829
RAC-40SP,4.1,2.8,5,9,1042,5.88,829
RAS-50YSP,5,3.4,6.9,9.7,1465,5.73,1037
RAC-50SP,5,3.4,6.9,9.7,1465,5.73,1037
RAS-63YSP,6.3,4.3,8.1,12,1732,5.6,1336
RAC-63SP,6.3,4.3,8.1,12,1732,5.6,1336
RAS-71YSP,7.2,4.8,10.2,13,2182,5.43,1576
RAC-71SP,7.2,4.8,10.2,13,2182,5.43,1576
RAS-81YSP,8,5.5,10.7,14,2324,5.41,1757
RAC-81SP,8,5.5,10.7,14,2324,5.41,1757
RAS-90YSP,8.7,5.8,11.5,14.5,2503,5.37,1925
RAC-90SP,8.7,5.8,11.5,14.5,2503,5.37,1925
RAS-110YSP,11,7.5,15.3,25.5,3330,5.18,2521
RAC-110SP,11,7.5,15.3,25.5,3330,5.18,2521
RAS-125YSP,12.5,8.4,19.8,27.5,4311,5.18,2868
RAC-125SP,12.5,8.4,19.8,27.5,4311,5.18,2868
RAS-140YSP,14,9.3,19.3,28,4204,5.18,3212
RAC-140SP,14,9.3,19.3,28,4204,5.18,3212
RAS-160YSP,19,10.3,25,29,5452,5.08,3743
RAC-160SP,19,10.3,25,29,5452,5.08,3743
